市场,股票代码,股票名称,发行总数(万股),上市价格,每手股数,币种,申购起始,申购结束,上市时间
HK,09988,阿里巴巴-SW,50000.00,176.00,100,港元,2019-11-15,2019-11-20,2019-11-26
HK,08208,WMCH Global,15000.00,0.40,6000,港元,2019-11-14,2019-11-19,2019-11-29
HK,01756,华立大学集团,30000.00,3.26,1000,港元,2019-11-14,2019-11-19,2019-11-25
HK,01342,硅谷天堂黄金,8044.00,13.10~17.50,200,港元,2019-11-08,2019-11-18,-
HK,02103,新力控股集团,52941.20,3.98,1000,港元,2019-10-30,2019-11-08,2019-11-15
HK,02296,华记环球集团,50000.00,0.25,8000,港元,2019-10-31,2019-11-07,2019-11-21
HK,03348,中国鹏飞集团,12500.00,1.58,2000,港元,2019-10-31,2019-11-07,2019-11-15
HK,01346,利华控股集团,17280.00,0.85,4000,港元,2019-10-31,2019-11-06,2019-11-13
HK,06186,中国飞鹤,89334.00,7.50,1000,港元,2019-10-30,2019-11-05,2019-11-13
HK,08617,永联丰控股,10000.00,0.55,5000,港元,2019-10-31,2019-11-05,2019-11-15
HK,01747,Home Control,12500.00,1.02,2000,港元,2019-10-31,2019-11-05,2019-11-14
HK,01640,瑞诚中国传媒,10000.00,1.25,2000,港元,2019-10-31,2019-11-05,2019-11-12
HK,03681,中国抗体-B,18212.94,7.60,300,港元,2019-10-31,2019-11-05,2019-11-12
HK,08627,旅橙文化,20000.00,0.275,8000,港元,2019-10-30,2019-11-04,2019-11-14
HK,01427,中国天保集团,20000.00,2.50,1000,港元,2019-10-30,2019-11-04,2019-11-11
HK,01401,Sprocomm Intel,25000.00,0.50,20000,港元,2019-10-30,2019-11-04,2019-11-13
HK,01875,东曜药业-B,9000.00,6.55,400,港元,2019-10-29,2019-11-01,2019-11-08
HK,01501,康德莱医械,4000.00,20.80,200,港元,2019-10-28,2019-10-31,2019-11-08
HK,01921,达力普控股,30000.00,1.59,2000,港元,2019-10-28,2019-10-31,2019-11-08
HK,01922,银城生活服务,6668.00,2.18,2000,港元,2019-10-25,2019-10-30,2019-11-06
HK,03603,信基沙溪,37500.00,1.00,3000,港元,2019-10-25,2019-10-30,2019-11-08
HK,01870,益美国际控股,13000.00,0.97,2500,港元,2019-10-25,2019-10-30,2019-11-08
HK,02163,远大住工,12186.80,9.68,300,港元,2019-10-24,2019-10-29,2019-11-06
